| column_name                          | data_type                   | is_nullable |
| ------------------------------------ | --------------------------- | ----------- |
| id                                   | uuid                        | NO          |
| org_id                               | uuid                        | NO          |
| status                               | text                        | YES         |
| created_at                           | timestamp without time zone | YES         |
| updated_at                           | timestamp without time zone | YES         |
| gp_name                              | text                        | NO          |
| gp_legal_name                        | text                        | YES         |
| former_names                         | ARRAY                       | YES         |
| gp_type                              | text                        | YES         |
| legal_structure                      | text                        | YES         |
| year_established                     | integer                     | YES         |
| primary_jurisdiction                 | text                        | YES         |
| secondary_jurisdictions              | ARRAY                       | YES         |
| regulator_names                      | ARRAY                       | YES         |
| registration_numbers                 | ARRAY                       | YES         |
| regulatory_status                    | text                        | YES         |
| description                          | text                        | YES         |
| headquarters_country                 | text                        | YES         |
| headquarters_city                    | text                        | YES         |
| operating_countries                  | ARRAY                       | YES         |
| operating_regions                    | ARRAY                       | YES         |
| number_of_offices                    | integer                     | YES         |
| office_locations                     | ARRAY                       | YES         |
| ownership_type                       | text                        | YES         |
| external_owner_present               | boolean                     | YES         |
| external_owner_name                  | text                        | YES         |
| external_control_flag                | boolean                     | YES         |
| founder_dependency_flag              | boolean                     | YES         |
| governing_body_type                  | text                        | YES         |
| investment_committee_exists          | boolean                     | YES         |
| ic_decision_frequency                | text                        | YES         |
| voting_structure                     | text                        | YES         |
| external_advisors_used               | boolean                     | YES         |
| total_aum                            | numeric                     | YES         |
| aum_currency                         | text                        | YES         |
| aum_as_of_date                       | date                        | YES         |
| private_markets_aum                  | numeric                     | YES         |
| number_of_active_funds               | integer                     | YES         |
| capital_raised_to_date               | numeric                     | YES         |
| growth_trend                         | text                        | YES         |
| asset_classes                        | ARRAY                       | YES         |
| fund_strategies                      | ARRAY                       | YES         |
| sector_focus                         | ARRAY                       | YES         |
| geographic_focus                     | ARRAY                       | YES         |
| ticket_size_min                      | numeric                     | YES         |
| ticket_size_max                      | numeric                     | YES         |
| ownership_preference                 | text                        | YES         |
| stage_focus                          | text                        | YES         |
| current_fundraising_status           | text                        | YES         |
| current_fund_name                    | text                        | YES         |
| target_fund_size                     | numeric                     | YES         |
| hard_cap                             | numeric                     | YES         |
| first_close_date                     | date                        | YES         |
| final_close_date                     | date                        | YES         |
| anchor_lp_present                    | boolean                     | YES         |
| total_team_size                      | integer                     | YES         |
| investment_team_size                 | integer                     | YES         |
| partner_count                        | integer                     | YES         |
| average_partner_tenure_years         | numeric                     | YES         |
| key_person_risk_flag                 | boolean                     | YES         |
| operational_infrastructure_level     | text                        | YES         |
| track_record_length_years            | integer                     | YES         |
| number_of_exits                      | integer                     | YES         |
| notable_exits                        | text                        | YES         |
| gross_irr_range                      | text                        | YES         |
| net_irr_range                        | text                        | YES         |
| tvpi_range                           | text                        | YES         |
| dpi_range                            | text                        | YES         |
| performance_transparency_level       | text                        | YES         |
| esg_policy_exists                    | boolean                     | YES         |
| esg_policy_public                    | boolean                     | YES         |
| esg_policy_url                       | text                        | YES         |
| dedicated_esg_team                   | boolean                     | YES         |
| esg_reporting_frequency              | text                        | YES         |
| un_pri_signatory                     | boolean                     | YES         |
| tcfd_aligned                         | boolean                     | YES         |
| sfdr_alignment                       | text                        | YES         |
| sdg_alignment                        | boolean                     | YES         |
| esg_integrated_in_investment_process | boolean                     | YES         |
| esg_due_diligence_required           | boolean                     | YES         |
| exclusion_list_exists                | boolean                     | YES         |
| portfolio_esg_monitoring             | boolean                     | YES         |
| active_ownership_policy              | boolean                     | YES         |
| compliance_function_exists           | boolean                     | YES         |
| risk_management_framework            | boolean                     | YES         |
| regulatory_breaches_flag             | boolean                     | YES         |
| litigation_flag                      | boolean                     | YES         |
| cyber_security_policy                | boolean                     | YES         |
| data_privacy_policy                  | boolean                     | YES         |
| key_lp_types                         | ARRAY                       | YES         |
| co_investment_offered                | boolean                     | YES         |
| spv_usage                            | boolean                     | YES         |
| preferred_service_providers          | ARRAY                       | YES         |
| recent_fund_launch                   | boolean                     | YES         |
| recent_key_hire                      | boolean                     | YES         |
| strategy_shift_detected              | boolean                     | YES         |
| regulatory_event_flag                | boolean                     | YES         |
| esg_policy_updated                   | boolean                     | YES         |
| last_updated_on                      | timestamp without time zone | YES         |
| last_updated_by                      | text                        | YES         |
| last_update_notes                    | text                        | YES         |
| update_trigger                       | text                        | YES         |
| assigned_to                          | text                        | YES         |
